label,message
ham,Hey are we meeting for the project discussion today?
ham,Please send me the notes from yesterday's lecture.
ham,Your interview is scheduled for Monday at 10 AM.
ham,Can you share the GitHub repository link?
ham,Let's complete the dataset preprocessing tonight.
ham,Your OTP for login is 784521. Do not share it.
ham,Meeting has been shifted to 3 PM.
ham,Please review the code before submission.
ham,Happy Birthday! Have a wonderful year ahead.
ham,Don't forget to bring your laptop charger.
ham,Are you coming to college tomorrow?
ham,Call me when you reach home safely.
ham,Assignment deadline is extended till Friday.
ham,I have uploaded the project report draft.
ham,Can you help me with the Python error?
ham,Let's revise AI concepts for the exam.
ham,Your order has been delivered successfully.
ham,Please attend the workshop at 2 PM.
ham,Thanks for your help yesterday.
ham,We will start the meeting in 5 minutes.
ham,Did you complete the machine learning task?
ham,Send me the presentation slides.
ham,Library will remain closed tomorrow.
ham,Let's practice coding questions today.
ham,Your train ticket is confirmed.
ham,Exam results will be announced next week.
ham,Can we reschedule our meeting?
ham,I will call you after lunch.
ham,Please check your email for details.
ham,Project submission is tomorrow.
ham,Let's go for lunch at 1 PM.
ham,Have you completed the documentation?
ham,Kindly update the spreadsheet.
ham,Team meeting is compulsory today.
ham,Your parcel is out for delivery.
ham,Please save the file in PDF format.
ham,I will send the payment by evening.
ham,Don't forget the seminar tomorrow.
ham,Can you share the dataset file?
ham,We need to test the model again.
ham,Class has been cancelled today.
ham,Please confirm your attendance.
ham,I reached home safely.
ham,Let's discuss the project idea.
ham,Your appointment is confirmed.
ham,Please bring your ID card.
ham,Check the server logs once.
ham,Meeting link has been shared.
ham,Good luck for your exam!
ham,See you at the lab.
spam,Congratulations! You have won a free iPhone. Click here to claim now.
spam,Limited time offer! Get 90% discount on all products.
spam,"You have been selected for a cash prize of ₹50,000."
spam,"Earn ₹10,000 per day from home. Register now!"
spam,URGENT! Your bank account will be blocked. Verify immediately.
spam,Get cheap loans approved instantly. Apply today.
spam,Click this link to claim your lottery reward.
spam,Exclusive deal just for you. Hurry up!
spam,Free recharge worth ₹500. Claim before midnight.
spam,Win a brand new car by participating in our survey.
spam,Claim your free Amazon gift voucher now.
spam,Lowest price guaranteed. Buy today!
spam,You are pre-approved for a personal loan.
spam,Get rich quickly with this secret method.
spam,Your ATM card has been suspended. Update details now.
spam,Hot singles are waiting for you. Join free!
spam,Investment opportunity with 200% returns.
spam,Free entry into our lucky draw contest.
spam,Click here to unlock your reward.
spam,Act fast! Offer expires tonight.
spam,Your KYC is pending. Update immediately.
spam,"You have won ₹1,00,000 lottery."
spam,Special discount only for selected users.
spam,Download this app and earn daily cash.
spam,Work from home and earn unlimited money.
spam,Confirm your bank details to avoid penalty.
spam,Get free Netflix subscription today.
spam,Claim bonus reward points now.
spam,Limited seats available. Register fast.
spam,Double your money in 7 days.
spam,Your account has suspicious activity. Click to secure.
spam,Free vacation trip awaits you.
spam,Recharge now and get extra cashback.
spam,Exclusive VIP membership offer.
spam,Lowest EMI loan approval guaranteed.
spam,Get free coupons instantly.
spam,Participate and win exciting prizes.
spam,Upgrade your phone at zero cost.
spam,Claim your reward before it expires.
spam,You have been chosen as lucky winner.
spam,Win big cash by answering simple questions.
spam,Fastest way to earn online money.
spam,Instant credit card approval.
spam,Free trial without any charges.
spam,Act now to receive your gift hamper.
spam,Special festive sale live now.
spam,Unlock premium features for free.
spam,Guaranteed income scheme.
spam,Limited period mega sale.
spam,Click to verify your account immediately.
